total_processed,input_rate,image_quality,file_size(kB),current_model,avg_conf,current_boxes,energy_consumption(J),current_cpu,measure_duration(s),current_time,start_time,absolute_time
17146,12.29249799008175,100,75.299,yolov5l,0.8702298700809479,2,17.98854,92.8,0.34872245,0.3469696044921875,4080.3343126773834,7174.076632022858
17147,11.156237919695803,100,233.056,yolov5l,0.2971290647983551,2,16.772784,93.5,0.32004955300000004,0.31826019287109375,4080.6075627803802,7174.443844795227
17148,12.036252878815187,100,261.961,yolov5l,0.6090161353349686,10,16.888812,83.6,0.342396767,0.3408393859863281,4080.9160799980164,7174.839273929596
17149,12.660002587095166,100,185.358,yolov5l,0.6946753760178884,6,14.368737,82.8,0.333202781,0.33145880699157715,4081.209145784378,7175.213334321976
17150,13.07857547649101,100,316.712,yolov5l,0.6770939122546803,11,16.321308,84.2,0.320733532,0.31943321228027344,4081.474152326584,7175.575163602829
17151,12.532619073711421,100,174.71,yolov5l,0.9071820378303528,1,16.209614,79.9,0.313500743,0.31177711486816406,4081.7592725753784,7175.930272102356
17152,12.163707572785063,100,340.955,yolov5l,0.5809491832514067,37,22.360539,85.9,0.522756609,0.5207629203796387,4082.249438524246,7176.509555578232
17153,12.025823459528091,100,227.257,yolov5l,0.5428542494773865,1,30.906598,92.2,0.677327771,0.6758120059967041,4082.8967428207397,7177.224764823914
17154,12.114824679391063,100,126.929,yolov5l,0.6249307202441352,14,21.361029,86.3,0.48736280699999995,0.4858889579772949,4083.329710006714,7177.735102176666
17155,12.602470248328583,100,182.787,yolov5l,0.6194537654519081,4,19.009839,84.7,0.41470218400000003,0.41292643547058105,4083.6937639713287,7178.189934968948
17156,12.130018311990007,100,310.054,yolov5l,0.6509052477777004,24,16.243123,79.9,0.32104184,0.3192558288574219,4083.99192404747,7178.577222108841
17157,12.25752914856549,100,490.53,yolov5l,0.573030948638916,1,21.55274,80.7,0.47481709499999997,0.4735605716705322,4084.4795994758606,7179.142008066177
17158,11.172338368090616,100,260.417,yolov5l,0.5650422225395838,18,16.066182,84.8,0.310160459,0.3088364601135254,4084.7397499084473,7179.493011236191
17159,11.988719883153207,100,342.498,yolov5l,0.49749526381492615,7,16.891803,87.9,0.332193594,0.3306262493133545,4085.049979686737,7179.881062746048
17160,12.945191677300569,100,333.839,yolov5l,0.8570011854171753,1,18.156204,89.1,0.36726724,0.3655238151550293,4085.384298324585,7180.305468320847
17161,12.026789168487559,100,309.305,yolov5l,0.9161442816257477,2,22.665408,84.9,0.507665658,0.5063953399658203,4085.86199760437,7180.872928857803
17162,12.327936407465236,100,195.501,yolov5l,0.9527121186256409,1,16.292438,84.2,0.31303718599999997,0.31177616119384766,4086.139469385147,7181.215492010117
17163,12.273358850178479,100,215.082,yolov5l,0.929897129535675,2,14.927391,83.9,0.291021261,0.2891547679901123,4086.377533197403,7181.546879529953
17164,12.184026555401829,100,306.744,yolov5l,0.8635495702425638,3,21.560736,82.6,0.481782743,0.480485200881958,4086.8302776813507,7182.079575777054
17165,12.28606955436589,100,213.276,yolov5l,0.943773090839386,1,21.862005,89.6,0.468665971,0.4668443202972412,4087.272702217102,7182.597418308258
17166,12.85430700989036,100,310.166,yolov5l,0.4767995625734329,6,31.642803,92.9,0.680570164,0.6789159774780273,4087.911703824997,7183.333884000778
17167,13.143478311727526,100,195.681,yolov5l,0.5615781545639038,13,24.389952,89.6,0.521480157,0.5202407836914062,4088.3893430233,7183.883531570435
17168,13.532147666156716,100,263.929,yolov5l,0.5732622742652893,10,21.958256,85.6,0.465228994,0.4638385772705078,4088.8184084892273,7184.389023542404
17169,11.336316484911393,100,154.861,yolov5l,0.6691295179453763,11,16.377156,83.8,0.31693648100000005,0.31555652618408203,4089.098771572113,7184.741750240326
17170,12.722267172699887,100,324.565,yolov5l,0.8311265707015991,1,21.96076,85.1,0.47518332199999996,0.47324705123901367,4089.554935693741,7185.283003330231
17171,12.51156281247833,100,296.441,yolov5l,0.634458139538765,8,23.095705,90.6,0.495586087,0.4937002658843994,4089.998006105423,7185.820084810257
17172,12.313496662942782,100,393.548,yolov5l,0.6028771013021469,10,25.745723,88.3,0.5322571389999999,0.5304484367370605,4090.5332973003387,7186.436019182205
17173,11.802281936853124,100,372.366,yolov5l,0.6280388832092285,2,16.114034,80.3,0.312763018,0.31149792671203613,4090.830019712448,7186.812290906906
17174,11.77454782379437,100,216.257,yolov5l,0.8824569880962372,2,15.328575,82.2,0.29333614399999997,0.2921123504638672,4091.093263864517,7187.153127908707
17175,11.548744710131103,100,280.908,yolov5l,0.4504573345184326,4,26.825005,85.6,0.5966289840000001,0.594879150390625,4091.664290904999,7187.810505390167
