total_processed,input_rate,image_quality,file_size(kB),current_model,avg_conf,current_boxes,energy_consumption(J),current_cpu,measure_duration(s),current_time,start_time,absolute_time
12404,18.168607985346554,100,165.928,yolov5m,0.7265449166297913,1,8.929115,74.3,0.238404741,0.23630475997924805,814.5503363609314,3668.1623005867004
12405,17.905979083046965,100,432.011,yolov5m,0.8657712936401367,1,7.63084,58.2,0.176920995,0.17575454711914062,814.7225453853607,3668.400354862213
12406,18.177451428712203,100,192.073,yolov5m,0.5453356504440308,2,6.632673,62.1,0.194131057,0.19224834442138672,814.8813598155975,3668.630126953125
12407,19.11686633400585,100,200.03,yolov5m,0.6527339160442353,10,7.403789,60.9,0.220685122,0.21938490867614746,815.1053972244263,3668.8852138519287
12408,17.435452702892984,100,73.637,yolov5m,0.8966698249181112,3,7.82072,65.8,0.223911628,0.22223544120788574,815.2946970462799,3669.125348329544
12409,17.17733120864452,100,378.707,yolov5m,0.8967163562774658,4,7.919657,61.3,0.223457424,0.22188234329223633,815.5058317184448,3669.4016449451447
12410,17.059580584308332,100,274.243,yolov5m,0.6924625515937806,5,9.521887,74.7,0.241732798,0.24038124084472656,815.7406420707703,3669.6963391304016
12411,16.42383770765789,100,149.9,yolov5m,0.5618882368911396,11,9.039222,76.5,0.238603014,0.23628854751586914,815.9557113647461,3669.9665513038635
12412,17.53952574194194,100,165.182,yolov5m,0.6356048062443733,12,10.493992,75.3,0.269772187,0.2677609920501709,816.1992750167847,3670.264790058136
12413,16.688037795104798,100,196.612,yolov5m,0.69272421002388,5,7.983988,75.1,0.20554689799999998,0.20403409004211426,816.3699815273285,3670.503065109253
12414,15.78815168407561,100,67.246,yolov5m,0.3242746889591217,2,10.019017,80.5,0.25674646,0.2544891834259033,816.5963292121887,3670.778435945511
12415,17.188592867018148,100,175.442,yolov5m,0.4549010470509529,4,8.35026,65.8,0.24945563699999998,0.24732065200805664,816.8085021972656,3671.058738231659
12416,17.83788392251352,100,199.286,yolov5m,0.5965670943260193,3,8.072734,61.2,0.214200164,0.21280312538146973,816.9862408638,3671.3065004348755
12417,18.534826752084772,100,178.291,yolov5m,0.8618186712265015,3,9.343726,63.3,0.214259886,0.21259164810180664,817.1761095523834,3671.5508151054382
12418,18.10842927069463,100,243.749,yolov5m,0.5821053981781006,1,6.80174,63.1,0.15511599299999998,0.15392112731933594,817.3077359199524,3671.7445085048676
12419,17.56318551996736,100,303.806,yolov5m,0.4875467377049582,7,7.154584,61.1,0.160567085,0.15944242477416992,817.462099313736,3671.9551396369934
12420,17.39991256326977,100,150.398,yolov5m,0.6978668719530106,6,8.88511,73.6,0.209079759,0.2066500186920166,817.6582772731781,3672.1956536769867
12421,17.447895731468282,100,187.439,yolov5m,0.5781501492728358,23,9.95609,77.9,0.247864376,0.24561738967895508,817.8673753738403,3672.4737496376038
12422,17.787637404747546,100,228.53,yolov5m,0.5811554014682769,10,9.954564,75.2,0.249772157,0.24852728843688965,818.0991201400757,3672.766133785248
12423,17.353450070631993,100,273.13,yolov5m,0.5897772908210754,21,8.854225,71.9,0.22382686,0.22258305549621582,818.3168354034424,3673.0398528575897
12424,18.04712502411409,100,356.44,yolov5m,0.5553292844976697,7,8.435098,71.8,0.198001521,0.19670724868774414,818.5155715942383,3673.294387817383
