,total_processed,input_rate,image_quality,file_size(kB),current_model,avg_conf,current_boxes,energy_consumption(J),current_cpu,measure_duration(s),current_model_small,avg_conf_small,current_boxes_small,energy_consumption(J)_small,current_cpu_small,measure_duration(s)_small,current_model_medium,avg_conf_medium,current_boxes_medium,energy_consumption(J)_medium,current_cpu_medium,measure_duration(s)_medium,current_model_large,avg_conf_large,current_boxes_large,energy_consumption(J)_large,current_cpu_large,measure_duration(s)_large
272,8779,7.7607136694311425,100,153.152,yolov5n,0.8395803372065226,3,1.350704,60.3,0.0504427359999999,yolov5s,0.906812826792399,3,3.200797,66.7,0.0900629489999999,yolov5m,0.923578143119812,3,7.063825,70.8,0.1523195419999999,yolov5l,0.809820257127285,4,11.923004,59.4,0.2468649819999999
273,1936,2.119191519786954,100,94.106,yolov5n,0.493989285826683,10,1.35101,25.8,0.052988795,yolov5s,0.4943403507533826,19,3.160392,49.8,0.073800569,yolov5m,0.5172044547165141,17,7.180462,66.7,0.188986573,yolov5l,0.4854056437810262,21,11.535798,55.6,0.257158609
274,5514,5.414827666718685,100,124.113,yolov5n,0.6031115055084229,2,1.352169,61.1,0.048076797,yolov5s,0.7556068301200867,2,3.012749,64.4,0.08855476,yolov5m,0.793205589056015,2,6.361983,63.9,0.183271131,yolov5l,0.5630622357130051,4,11.196749,55.7,0.238604459
275,8501,7.779370881898313,100,125.508,yolov5n,0.5867168340418074,18,1.353817,63.8,0.048122413,yolov5s,0.5877218469977379,20,3.807364,79.6,0.094961279,yolov5m,0.5882707414301959,22,7.105085,68.9,0.159854047,yolov5l,0.5816183376770753,26,14.697777,68.1,0.359862074
276,14866,18.817813458920057,100,186.858,yolov5n,0.8190703988075256,1,1.353818,54.7,0.04988766,yolov5s,0.8691798448562622,1,4.144093,86.5,0.090028971,yolov5m,0.9497249722480774,1,10.942843,86.0,0.235535047,yolov5l,0.6287008648117384,24,21.757513,83.0,0.505765793
277,7620,7.116115230853611,100,253.145,yolov5n,0.7839928418397903,4,1.355588,52.4,0.044767086,yolov5s,0.8274164199829102,4,3.40734,63.6,0.090391182,yolov5m,0.8359410464763641,4,5.569139,52.0,0.129008353,yolov5l,0.752081161737442,5,14.025904,72.9,0.287616479
278,7845,8.289428566652226,100,398.136,yolov5n,0.8623538613319397,1,1.358273,46.8,0.050525095,yolov5s,0.9137738943099976,1,4.658741,73.5,0.122117401,yolov5m,0.9321321845054626,1,5.686447,50.0,0.132507902,yolov5l,0.650062769651413,2,12.676787,60.0,0.25325112
279,21595,15.664102243668948,100,228.294,yolov5n,0.4905921944550105,7,1.360104,60.8,0.0496771639999999,yolov5s,0.4980933368206024,7,5.046862,78.9,0.134035406,yolov5m,0.5323435919625419,7,11.331636,86.7,0.2593739,yolov5l,0.4682173699140549,10,22.126958,84.3,0.472783046
280,10544,9.902429356429684,100,198.46,yolov5n,0.4771243631839752,3,1.36163,55.6,0.051090642,yolov5s,0.4900239408016205,12,3.493399,74.0,0.091718044,yolov5m,0.5425847279173988,14,7.446758,70.4,0.170326473,yolov5l,0.4732025563716888,15,17.006121,87.6,0.333334738
281,4708,4.528504509456568,100,409.071,yolov5n,0.8438549935817719,6,1.36279,47.1,0.053196065,yolov5s,0.9154206315676372,6,3.511404,32.8,0.10176899,yolov5m,0.9259898364543916,6,5.832932,15.6,0.13558895,yolov5l,0.7274193316698074,4,16.631183,67.3,0.479455178
282,5369,5.759534721905774,100,256.66,yolov5n,0.7515188902616501,8,1.363094,49.3,0.051198811,yolov5s,0.7696752813127306,9,3.152397,61.1,0.095531763,yolov5m,0.7530189037322998,10,6.178085,53.3,0.140079778,yolov5l,0.670663317044576,12,12.167571,53.7,0.2549635229999999
283,10081,9.840216510998042,100,367.797,yolov5n,0.8354398012161255,3,1.363156,18.5,0.0520876419999999,yolov5s,0.8881865938504537,3,4.903918,79.0,0.123420735,yolov5m,0.8550050109624863,4,9.714575,72.1,0.2302961879999999,yolov5l,0.6920687615871429,5,12.570708,56.4,0.261618914
284,15814,22.78142696162349,100,288.005,yolov5n,0.5397799392541249,15,1.363888,57.6,0.040796642,yolov5s,0.5648699753424701,17,3.828664,71.3,0.09092082,yolov5m,0.6299960911273956,17,10.55991,84.8,0.244319948,yolov5l,0.5369051867409756,19,21.632819,90.1,0.472485594
285,6312,5.872836980231048,100,343.131,yolov5n,0.8413409193356832,3,1.364132,46.8,0.0484610679999999,yolov5s,0.8582255641619364,3,4.290822,71.0,0.104358951,yolov5m,0.9078679283459982,3,7.156475,64.2,0.162343254,yolov5l,0.7892514243721962,4,14.634789,68.0,0.30804505
286,4770,4.538902579088903,100,191.776,yolov5n,0.6466635763645172,3,1.365536,61.3,0.042371754,yolov5s,0.9155614376068116,2,2.245844,60.0,0.070710451,yolov5m,0.7583470741907755,3,4.320851,51.0,0.101050275,yolov5l,0.5056102201342583,4,11.061495,54.6,0.23658009
287,21441,13.476919089841829,100,234.586,yolov5n,0.8348914533853531,4,1.367733,50.6,0.051098856,yolov5s,0.879766434431076,4,6.332748,88.7,0.167118306,yolov5m,0.9016905426979064,4,10.07523,82.9,0.23739781,yolov5l,0.6818726531096867,7,20.40632,84.2,0.4827592739999999
